Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
1955888	1955889	CJJ81176_0027	CJJ81176_0028	dnaA	dnaN	TRUE	0.687	160.000	0.328	1.000	Y	NA
1955889	1955890	CJJ81176_0028	CJJ81176_0029	dnaN	gyrB	TRUE	0.767	29.000	0.114	1.000	Y	NA
1955891	1955892	CJJ81176_0030	CJJ81176_0031			TRUE	0.977	3.000	0.027	0.059		NA
1955893	1955894	CJJ81176_0032	CJJ81176_0033		gltB	FALSE	0.210	134.000	0.025	1.000		NA
1955894	1955895	CJJ81176_0033	CJJ81176_0034	gltB		FALSE	0.540	20.000	0.000	NA		NA
1955895	1955896	CJJ81176_0034	CJJ81176_0035		gltD	TRUE	0.722	11.000	0.000	NA		NA
1955897	1955898	CJJ81176_0036	CJJ81176_0037	rnhB	comEA	FALSE	0.371	33.000	0.002	1.000		NA
1955898	1955899	CJJ81176_0037	CJJ81176_0038	comEA	rbr	FALSE	0.230	65.000	0.004	1.000		NA
1955901	1955902	CJJ81176_0040	CJJ81176_0041			TRUE	0.686	-34.000	0.000	NA		NA
1955902	1955903	CJJ81176_0041	CJJ81176_0042			FALSE	0.157	92.000	0.010	NA		NA
1955905	1955906	CJJ81176_0044	CJJ81176_0045			TRUE	0.953	12.000	0.667	NA		NA
1955906	1955907	CJJ81176_0045	CJJ81176_0046			FALSE	0.420	106.000	0.143	NA		NA
1955907	1955908	CJJ81176_0046	CJJ81176_0047		ccpA-1	TRUE	0.956	14.000	0.800	1.000	N	NA
1955908	1955909	CJJ81176_0047	CJJ81176_0048	ccpA-1		FALSE	0.289	64.000	0.028	1.000	N	NA
1955909	1955910	CJJ81176_0048	CJJ81176_0049			FALSE	0.269	112.000	0.042	1.000	N	NA
1955911	1955912	CJJ81176_0050	CJJ81176_0051	purB-1	nrdA	TRUE	0.708	16.000	0.012	1.000	Y	NA
1955913	1955914	CJJ81176_0052	CJJ81176_0053		thyX	FALSE	0.168	120.000	0.009	1.000		NA
1955915	1955916	CJJ81176_0054	CJJ81176_0055	pyrG	recJ	TRUE	0.678	-13.000	0.026	1.000	N	NA
1955916	1955917	CJJ81176_0055	CJJ81176_0056	recJ	ansA	FALSE	0.194	86.000	0.004	1.000	N	NA
1955917	1955918	CJJ81176_0056	CJJ81176_1704	ansA	rrsA	FALSE	0.187	587.000	0.000	NA		NA
1955918	1955919	CJJ81176_1704	CJJ81176_1705	rrsA		FALSE	0.231	105.000	0.000	NA		NA
1955919	1955920	CJJ81176_1705	CJJ81176_1706			TRUE	0.821	9.000	0.000	NA		NA
1955920	1955921	CJJ81176_1706	CJJ81176_1707		rrlA	FALSE	0.187	581.000	0.000	NA		NA
1955923	1955924	CJJ81176_1708	CJJ81176_0063	rrfA		FALSE	0.189	425.000	0.000	NA		NA
1955924	1955925	CJJ81176_0063	CJJ81176_0064			TRUE	0.587	41.000	0.136	NA		NA
1955925	1955926	CJJ81176_0064	CJJ81176_0065			FALSE	0.494	44.000	0.091	NA	N	NA
1955926	1955927	CJJ81176_0065	CJJ81176_0066			TRUE	0.978	-7.000	0.750	1.000	Y	NA
1955929	1955930	CJJ81176_0068	CJJ81176_0069			TRUE	0.869	0.000	0.000	NA		NA
1955930	1955931	CJJ81176_0069	CJJ81176_0070			FALSE	0.195	238.000	0.000	NA		NA
1955931	1955932	CJJ81176_0070	CJJ81176_0071			FALSE	0.221	115.000	0.000	NA		NA
1955933	1955934	CJJ81176_0072	CJJ81176_0073			TRUE	0.603	-13.000	0.019	NA		NA
1955936	1955937	CJJ81176_0075	CJJ81176_0076			FALSE	0.420	178.000	0.182	NA		NA
1955937	1955938	CJJ81176_0076	CJJ81176_0077		typA	TRUE	0.792	0.000	0.006	NA		NA
1955939	1955940	CJJ81176_0078	CJJ81176_0079			TRUE	0.903	20.000	0.500	1.000		NA
1955940	1955941	CJJ81176_0079	CJJ81176_0080		flgD	FALSE	0.371	54.000	0.053	NA		NA
1955941	1955942	CJJ81176_0080	CJJ81176_0081	flgD	flgE-1	TRUE	0.982	4.000	0.341	NA	Y	NA
1955943	1955944	CJJ81176_0082	CJJ81176_0083			TRUE	0.702	285.000	0.714	NA		NA
1955945	1955946	CJJ81176_0084	CJJ81176_0085			FALSE	0.197	223.000	0.000	NA		NA
1955946	1955947	CJJ81176_0085	CJJ81176_0086			TRUE	0.686	-48.000	0.000	NA		NA
1955947	1955948	CJJ81176_0086	CJJ81176_0087			TRUE	0.686	-40.000	0.000	NA		NA
1955948	1955949	CJJ81176_0087	CJJ81176_0088			TRUE	0.996	11.000	1.000	0.008		NA
1955949	1955950	CJJ81176_0088	CJJ81176_0089			TRUE	0.992	19.000	1.000	0.008		NA
1955951	1955952	CJJ81176_0090	CJJ81176_0091	trmU		TRUE	0.797	0.000	0.012	NA		NA
1955952	1955953	CJJ81176_0091	CJJ81176_0092			FALSE	0.537	121.000	0.300	NA		NA
1955953	1955954	CJJ81176_0092	CJJ81176_0093			TRUE	0.964	14.000	1.000	NA		NA
1955955	1955956	CJJ81176_0094	CJJ81176_0095			TRUE	0.685	-15.000	0.000	NA		NA
1955956	1955957	CJJ81176_0095	CJJ81176_0096			TRUE	0.840	6.000	0.000	NA		NA
1955958	1955959	CJJ81176_0097	CJJ81176_0098	fliY	fliM	TRUE	0.982	18.000	0.142	0.003	Y	NA
1955959	1955960	CJJ81176_0098	CJJ81176_0099	fliM	fliA	TRUE	0.940	0.000	0.118	1.000	N	NA
1955960	1955961	CJJ81176_0099	CJJ81176_0100	fliA		TRUE	0.812	-19.000	0.112	NA		NA
1955961	1955962	CJJ81176_0100	CJJ81176_0101			TRUE	0.770	19.000	0.159	NA		NA
1955962	1955963	CJJ81176_0101	CJJ81176_0102		flhF	TRUE	0.930	-7.000	0.382	1.000	N	NA
1955963	1955964	CJJ81176_0102	CJJ81176_0103	flhF	folK	TRUE	0.799	10.000	0.035	1.000	N	NA
1955964	1955965	CJJ81176_0103	CJJ81176_0104	folK	aroQ	TRUE	0.849	3.000	0.009	1.000	N	NA
1955966	1955967	CJJ81176_0105	CJJ81176_0106		sppA	TRUE	0.718	-12.000	0.035	1.000	N	NA
1955967	1955968	CJJ81176_0106	CJJ81176_0107	sppA		FALSE	0.170	79.000	0.009	NA		NA
1955968	1955969	CJJ81176_0107	CJJ81176_1709			TRUE	0.655	13.000	0.000	NA		NA
1955970	1955971	CJJ81176_0108	CJJ81176_0109			FALSE	0.197	210.000	0.000	NA		NA
1955971	1955972	CJJ81176_0109	CJJ81176_0110			FALSE	0.234	173.000	0.000	1.000		NA
1955972	1955973	CJJ81176_0110	CJJ81176_0111			TRUE	0.988	-7.000	0.209	0.002		NA
1955973	1955974	CJJ81176_0111	CJJ81176_0112			TRUE	0.980	-3.000	0.657	1.000	Y	NA
