Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
45952	45953	Cj0001	Cj0002	dnaA	dnaN	FALSE	0.513	160.000	0.328	1.000	Y	0.413
45953	45954	Cj0002	Cj0003	dnaN	gyrB	TRUE	0.692	29.000	0.114	1.000	Y	-0.283
45955	45956	Cj0004c	Cj0005c	Cj0004c	Cj0005c	TRUE	0.973	3.000	0.027	0.061		0.556
45957	45958	Cj0006	Cj0007	Cj0006	gltB	FALSE	0.116	134.000	0.025	1.000		0.262
45958	45959	Cj0007	Cj0008	gltB	Cj0008	TRUE	0.808	10.000	0.000	NA		0.366
45959	45960	Cj0008	Cj0009	Cj0008	gltD	TRUE	0.868	3.000	0.000	NA		0.451
45961	45962	Cj0010c	Cj0011c	rnhB	Cj0011c	FALSE	0.540	33.000	0.002	1.000		0.629
45962	45963	Cj0011c	Cj0012c	Cj0011c	Cj0012c	FALSE	0.291	65.000	0.004	1.000		0.626
45965	45966	Cj0014c	Cj0015c	Cj0014c	Cj0015c	FALSE	0.112	92.000	0.010	NA		0.260
45968	45969	Cj0017c	Cj0018c	Cj0017c	Cj0018c	TRUE	0.978	12.000	0.667	NA		0.814
45969	45970	Cj0018c	Cj0019c	Cj0018c	Cj0019c	FALSE	0.214	106.000	0.143	NA		-0.067
45970	45971	Cj0019c	Cj0020c	Cj0019c	Cj0020c	TRUE	0.961	-10.000	0.800	1.000	N	0.286
45971	45972	Cj0020c	Cj0021c	Cj0020c	Cj0021c	FALSE	0.207	64.000	0.028	1.000	N	0.040
45972	45973	Cj0021c	Cj0022c	Cj0021c	Cj0022c	FALSE	0.250	113.000	0.042	1.000	N	0.706
45974	45975	Cj0023	Cj0024	purB	nrdA	TRUE	0.748	16.000	0.012	1.000	Y	0.187
45976	45977	Cj0025c	Cj0026c	Cj0025c	Cj0026c	FALSE	0.058	120.000	0.009	1.000		0.000
45978	45979	Cj0027	Cj0028	pyrG	recJ	FALSE	0.446	-13.000	0.026	1.000	N	-0.297
45979	45980	Cj0028	Cj0029	recJ	ansA	FALSE	0.034	96.000	0.004	1.000	N	-0.362
45980	408145	Cj0029	Cjr01	ansA	rrs	FALSE	0.080	587.000	0.000	NA		NA
408145	399873	Cjr01	Cjp01	rrs	tRNA-Ala	FALSE	0.103	105.000	0.000	NA		NA
399873	399874	Cjp01	Cjp02	tRNA-Ala	tRNA-Ile	TRUE	0.808	9.000	0.000	NA		NA
399874	2166148	Cjp02	Cjr02	tRNA-Ile		FALSE	0.080	542.000	0.000	NA		NA
2166148	406796	Cjr02	Cjr03		rrf	FALSE	0.079	284.000	0.000	NA		NA
406796	45981	Cjr03	Cj0030	rrf	Cj0030	FALSE	0.101	106.000	0.000	NA		NA
45981	45982	Cj0030	Cj0031	Cj0030	Cj0031	FALSE	0.095	61.000	0.000	NA		-0.269
45982	45984	Cj0031	Cj0033	Cj0031	Cj0033	TRUE	0.681	0.000	0.000	NA		-0.102
45985	45986	Cj0034c	Cj0035c	Cj0034c	Cj0035c	TRUE	0.820	-3.000	0.019	NA		0.401
45988	45989	Cj0037c	Cj0038c	Cj0037c	Cj0038c	FALSE	0.236	178.000	0.182	NA		0.135
45989	45990	Cj0038c	Cj0039c	Cj0038c	typA	FALSE	0.393	0.000	0.006	NA		-0.582
