proteome,count
CGT2984,984
CGT2448,966
CGT2730,856
CGT2998,669
CGT2761,790
CGT2371,1087
CGT2049,752
CGT2060,845
CGT2149,801
CGT2224,834
CGT2260,829
CGT2282,925
CGT2330,857
CGT2348,733
CGT2477,880
CGT2486,816
CGT2490,846
CGT2564,893
CGT2587,831
CGT2681,948
CGT2682,766
CGT2907,949
CGT2378,954
CGT2704,880
CGT2795,910
CGT2054,843
CGT2202,829
CGT2211,773
CGT2235,921
CGT2278,925
CGT2321,948
CGT2347,809
CGT2483,946
CGT2550,934
CGT2648,963
CGT2726,834
CGT2867,880
CGT2877,818
CGT2901,864
CGT2902,799
CGT2103,952
CGT2582,1008
CGT2491,969
CGT2779,986
CGT2123,858
CGT2164,900
CGT2406,798
CGT2798,995
CGT2849,1022
CGT2375,923
