locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
3660219	YP_001481579.1	157414323	57174	1	1323	+	C8J_0001	dnaA	chromosomal replication initiator protein DnaA (RefSeq)	COG593	L	ATPase involved in DNA replication initiation	TIGR00362 chromosomal replication initiator protein DnaA [dnaA]	DNA metabolism:DNA replication, recombination, and repair	GO:0006275,GO:0006270,GO:0005524,GO:0003688,GO:0017111		
3660220	YP_001481580.1	157414324	57174	1483	2550	+	C8J_0002	dnaN	DNA polymerase III, beta subunit (RefSeq)	COG592	L	DNA polymerase sliding clamp subunit (PCNA homolog)	TIGR00663 DNA polymerase III, beta subunit [dnaN]	DNA metabolism:DNA replication, recombination, and repair	GO:0006260,GO:0003894,GO:0003677,GO:0008408,GO:0016451,GO:0003893,GO:0016000,GO:0016449,GO:0003895,GO:0015999,GO:0003890,GO:0003891,GO:0016450,GO:0003889,GO:0019984,GO:0016448,GO:0016452	2.7.7.7	DNA-directed DNA polymerase.
3660221	YP_001481581.1	157414325	57174	2579	4888	+	C8J_0003	gyrB	DNA gyrase subunit B (RefSeq)	COG187	L	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	TIGR01059 DNA gyrase, B subunit [gyrB]	DNA metabolism:DNA replication, recombination, and repair	GO:0006304,GO:0006265,GO:0005694,GO:0003918,GO:0005524	5.99.1.3	DNA topoisomerase (ATP-hydrolyzing).
3660222	YP_001481582.1	157414326	57174	5255	4914	-	C8J_0004	C8J_0004	putative periplasmic protein (RefSeq)						GO:0006118,GO:0005506,GO:0009055,GO:0020037		
3660223	YP_001481583.1	157414327	57174	6496	5258	-	C8J_0005	C8J_0005	hypothetical protein (RefSeq)	COG2041	R	Sulfite oxidase and related enzymes			GO:0006118,GO:0016491,GO:0030151		
3660224	YP_001481584.1	157414328	57174	6706	8007	+	C8J_0006	C8J_0006	putative integral membrane protein (RefSeq)	COG2056	R	Predicted permease			GO:0006885,GO:0015746,GO:0006814,GO:0016021,GO:0015137,GO:0015385		
3660225	YP_001481585.1	157414329	57174	8142	12632	+	C8J_0007	gltB	glutamate synthase, large subunit (RefSeq)	COG69	E	Glutamate synthase domain 2			GO:0006537,GO:0009342,GO:0004355,GO:0016040	1.4.1.13,1.4.1.14	Glutamate synthase (NADPH).,Glutamate synthase (NADH).
3660226	YP_001481586.1	157414330	57174	12643	14088	+	C8J_0008	gltD	glutamate synthase, small subunit (RefSeq)	COG493	ER	NADPH-dependent glutamate synthase beta chain and related oxidoreductases	TIGR01317 glutamate synthase, NADH/NADPH, small subunit [gltD]		GO:0006537,GO:0006118,GO:0009342,GO:0004355,GO:0016040,GO:0051536	1.4.1.13,1.4.1.14	Glutamate synthase (NADPH).,Glutamate synthase (NADH).
3660227	YP_001481587.1	157414331	57174	14664	14089	-	C8J_0009	rnhB	ribonuclease HII (RefSeq)	COG164	L	Ribonuclease HII			GO:0003723,GO:0004523	3.1.26.4	Ribonuclease H.
3660228	YP_001481588.1	157414332	57174	14936	14697	-	C8J_0010	C8J_0010	putative non-specific DNA binding protein (RefSeq)				TIGR00426 competence protein ComEA helix-hairpin-helix repeat region	Cellular processes:DNA transformation	GO:0009306,GO:0005622,GO:0016021,GO:0043565		
