Gene	Chr	Start	Stop
ACTB	chr7	5570232	5567378
ACTG1	chr17	79479892	79476996
ADCY3	chr2	25142055	25042800
ADCY9	chr16	4166186	4015775
AKT1	chr14	105262080	105236677
AKT2	chr19	40791302	40739778
AKT3	chr1	244006584	243663044
APOA1	chr11	116708338	116706523
APOL1	chr22	36663577	36650008
ARAF	chrX	47431320	47422366
ARF1	chr1	228286913	228284815
ARHGAP10	chr4	148993927	148653452
ARPC1A	chr7	98963885	98930976
ARPC1B	chr7	98992404	98983337
ARPC2	chr2	219119071	219082193
ARPC3	chr12	110888158	110872959
ARPC4	chr3	9848789	9834805
ARPC5	chr1	183605076	183596666
ARPC5L	chr9	127639696	127631569
ATP6AP1	chrX	153664862	153657038
ATP6V0A1	chr17	40674597	40612912
ATP6V0A2	chr12	124246301	124197112
ATP6V0A4	chr7	138482941	138391368
ATP6V0B	chr1	44443972	44440712
ATP6V0C	chr16	2570224	2564104
ATP6V0D1	chr16	67515089	67472430
ATP6V0D2	chr8	87166454	87111207
ATP6V0E1	chr5	172461900	172410863
ATP6V0E2	chr7	149577787	149571007
ATP6V1A	chr3	113530905	113497600
ATP6V1B1	chr2	71192561	71163084
ATP6V1B2	chr8	20079207	20054917
ATP6V1C1	chr8	104085285	104053064
ATP6V1C2	chr2	10925236	10862975
ATP6V1D	chr14	67826720	67805337
ATP6V1E1	chr22	18111588	18075439
ATP6V1E2	chr2	46747096	46739169
ATP6V1F	chr7	128505903	128502958
ATP6V1G1	chr9	117361152	117350118
ATP6V1G2	chr6	31514625	31513184
ATP6V1G3	chr1	198510075	198498259
ATP6V1H	chr8	54755602	54628523
BAD	chr11	64052176	64037680
BCAR1	chr16	75299905	75263408
BRAF	chr7	140624564	140434396
CAV1	chr7	116201239	116165116
CAV2	chr7	116148595	116139835
CAV3	chr3	8788451	8775562
CBL	chr11	119178859	119077127
CBLB	chr3	105587887	105377813
CBLC	chr19	45303903	45281188
CCL2	chr17	32584220	32582368
CD2AP	chr6	47594996	47445980
CD36	chr7	80308593	80276056
CD40	chr20	44758384	44746982
CD40LG	chrX	135742549	135730407
CD81	chr11	2418649	2398779
CDC42	chr1	22419436	22404971
CDH1	chr16	68869444	68771318
CDKN1A	chr6	36655116	36651878
CFTR	chr7	117308718	117120148
CHUK	chr10	101989344	101949354
CLDN1	chr3	190040235	190026065
CLDN10	chr13	96232010	96205007
CLDN11	chr3	170152479	170136854
CLDN14	chr21	37948867	37833273
CLDN15	chr7	100882101	100875690
CLDN16	chr3	190129932	190105908
CLDN17	chr21	31538971	31538260
CLDN18	chr3	137752494	137729067
CLDN19	chr1	43205925	43200756
CLDN2	chrX	106174091	106171458
CLDN20	chr6	155597682	155596853
CLDN22	chr4	184241927	184240708
CLDN23	chr8	8561617	8559908
CLDN3	chr7	73184600	73183716
CLDN4	chr7	73247015	73245531
CLDN5	chr22	19512860	19511121
CLDN6	chr16	3068188	3065359
CLDN7	chr17	7166512	7163692
CLDN8	chr21	31588469	31587565
CLDN9	chr16	3064506	3063363
CLTA	chr9	36212059	36191053
CLTB	chr5	175843570	175819774
CLTC	chr17	57774317	57697492
CLTCL1	chr22	19279239	19187258
COMP	chr19	18902114	18893724
CR1	chr1	207815110	207669612
CRK	chr17	1359561	1326806
CRKL	chr22	21308037	21272222
CSF3	chr17	38174066	38171727
CTNNA1	chr5	138270723	138117613
CTNNA2	chr2	80875988	79878682
CTNNA3	chr10	69425416	67680087
CTNNB1	chr3	41281939	41265559
CTTN	chr11	70282690	70253403
DARC	chr1	159176290	159174749
DDX58	chr9	32526322	32457119
DNM1	chr9	131017527	130965749
DNM1L	chr12	32898584	32832297
DNM2	chr19	10942586	10828918
DNM3	chr1	172381857	171810796
DOCK1	chr10	129250780	128594086
EGF	chr4	110934118	110834491
EGFR	chr7	55275031	55086970
EIF2AK1	chr7	6098860	6064303
EIF2AK2	chr2	37384190	37334415
EIF2AK3	chr2	88927094	88857253
EIF2AK4	chr15	40327797	40226396
EIF2S1	chr14	67853233	67831484
EIF3E	chr8	109260959	109214113
ELMO1	chr7	37488555	36895155
ERO1L	chr14	53162419	53110287
F2RL1	chr5	76131140	76115007
FAS	chr10	90775542	90750633
FASLG	chr1	172636012	172628341
FN1	chr2	216300791	216226277
GAB1	chr4	144395718	144258341
GNAQ	chr9	80646219	80336238
GNAS	chr20	57486250	57466781
GRB2	chr17	73401790	73316448
GSK3B	chr3	119813264	119545634
GYPA	chr4	145061904	145032546
GYPB	chr4	144940496	144917451
GYPC	chr2	127454251	127447844
HBA1	chr16	227520	226715
HBA2	chr16	223709	222911
HBB	chr11	5248301	5246827
HBD	chr11	5255858	5254193
HCLS1	chr3	121379791	121350692
HGF	chr7	81399452	81331896
HPR	chr16	72111145	72097154
HRAS	chr11	535550	533295
ICAM1	chr19	10397291	10381835
IFIT1	chr10	91166244	91162125
IFNA1	chr9	21441315	21440506
IFNA10	chr9	21207142	21206526
IFNA13	chr9	21368075	21367436
IFNA14	chr9	21239978	21239364
IFNA16	chr9	21217310	21216734
IFNA17	chr9	21228221	21227602
IFNA2	chr9	21385396	21384761
IFNA21	chr9	21166659	21166041
IFNA4	chr9	21187598	21186960
IFNA5	chr9	21305312	21304685
IFNA6	chr9	21350886	21350316
IFNA7	chr9	21202204	21201594
IFNA8	chr9	21410184	21409175
IFNAR1	chr21	34732128	34697360
IFNAR2	chr21	34635062	34614227
