locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
45952	NP_281223.1	15791400	54	1	1323	+	Cj0001	dnaA	chromosomal replication initiator protein (NCBI ptt file)	COG593	L	ATPase involved in DNA replication initiation	TIGR00362 chromosomal replication initiator protein DnaA [dnaA]	DNA metabolism:DNA replication, recombination, and repair	GO:0006275,GO:0006270,GO:0005524,GO:0003688,GO:0017111		
45953	NP_281224.1	15791401	54	1483	2550	+	Cj0002	dnaN	DNA polymerase III, beta chain (NCBI ptt file)	COG592	L	DNA polymerase sliding clamp subunit (PCNA homolog)	TIGR00663 DNA polymerase III, beta subunit [dnaN]	DNA metabolism:DNA replication, recombination, and repair	GO:0006260,GO:0003894,GO:0003677,GO:0008408,GO:0016451,GO:0003893,GO:0016000,GO:0016449,GO:0016450,GO:0015999,GO:0003890,GO:0003891,GO:0003895,GO:0003889,GO:0019984,GO:0016448,GO:0016452	2.7.7.7	DNA-directed DNA polymerase.
45954	NP_281225.1	15791402	54	2579	4888	+	Cj0003	gyrB	DNA gyrase subunit B (NCBI ptt file)	COG187	L	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	TIGR01059 DNA gyrase, B subunit [gyrB]	DNA metabolism:DNA replication, recombination, and repair	GO:0006304,GO:0006265,GO:0005694,GO:0005524,GO:0003918	5.99.1.3	DNA topoisomerase (ATP-hydrolyzing).
45955	NP_281226.1	15791403	54	5257	4916	-	Cj0004c	Cj0004c	putative periplasmic protein (NCBI ptt file)						GO:0006118,GO:0005506,GO:0009055,GO:0020037		
45956	NP_281227.1	15791404	54	6498	5260	-	Cj0005c	Cj0005c	putative molybdenum containing oxidoreductase (NCBI ptt file)	COG2041	R	Sulfite oxidase and related enzymes			GO:0006118,GO:0008482,GO:0030151	1.8.3.1	Sulfite oxidase.
45957	NP_281228.1	15791405	54	6703	8010	+	Cj0006	Cj0006	putative integral membrane protein (NCBI ptt file)	COG2056	R	Predicted permease			GO:0006814,GO:0006885,GO:0016021,GO:0015385		
45958	NP_281229.1	15791406	54	8144	12634	+	Cj0007	gltB	glutamate synthase (NADPH) large subunit (NCBI ptt file)	COG69	E	Glutamate synthase domain 2			GO:0006537,GO:0009342,GO:0004355	1.4.1.13	Glutamate synthase (NADPH).
45959	NP_281230.1	15791407	54	12644	14395	+	Cj0008	Cj0008	hypothetical protein Cj0008 (NCBI ptt file)	COG1479	S	Uncharacterized conserved protein					
45960	NP_281231.1	15791408	54	14398	15843	+	Cj0009	gltD	glutamate synthase (NADPH) small subunit (NCBI ptt file)	COG493	ER	NADPH-dependent glutamate synthase beta chain and related oxidoreductases	TIGR01317 glutamate synthase, NADH/NADPH, small subunit [gltD]		GO:0006118,GO:0006537,GO:0009342,GO:0016020,GO:0004355,GO:0005506,GO:0051536	1.4.1.13	Glutamate synthase (NADPH).
45961	NP_281232.1	15791409	54	16419	15844	-	Cj0010c	rnhB	ribonuclease HII (NCBI ptt file)	COG164	L	Ribonuclease HII			GO:0003723,GO:0004523	3.1.26.4	Ribonuclease H.
45962	NP_281233.1	15791410	54	16691	16452	-	Cj0011c	Cj0011c	putative non-specific DNA binding protein (NCBI ptt file)				TIGR00426 competence protein ComEA helix-hairpin-helix repeat region	Cellular processes:DNA transformation	GO:0009306,GO:0005622,GO:0016021,GO:0043565		
45963	NP_281234.1	15791411	54	17403	16756	-	Cj0012c	Cj0012c	non-haem iron protein (NCBI ptt file)	COG1592	C	Rubrerythrin	TIGR00319 desulfoferrodoxin FeS4 iron-binding domain	Energy metabolism:Electron transport	GO:0006118,GO:0004634,GO:0005506,GO:0009055	4.2.1.11	Phosphopyruvate hydratase.
